title,release_year,language_name,rental_duration,rental_rate,replacement_cost,rating,actor_name,category_name
Academy Dinosaur,2006,English             ,6,0.99,20.99,PG,Penelope Guiness,Documentary
Anaconda Confessions,2006,English             ,3,0.99,9.99,R,Penelope Guiness,Animation
Angels Life,2006,English             ,3,2.99,15.99,G,Penelope Guiness,New
Bulworth Commandments,2006,English             ,4,2.99,14.99,G,Penelope Guiness,Games
Cheaper Clyde,2006,English             ,6,0.99,23.99,G,Penelope Guiness,Sci-Fi
Color Philadelphia,2006,English             ,6,2.99,19.99,G,Penelope Guiness,Classics
Elephant Trojan,2006,English             ,4,4.99,24.99,PG-13,Penelope Guiness,Horror
Gleaming Jawbreaker,2006,English             ,5,2.99,25.99,NC-17,Penelope Guiness,Sports
Human Graffiti,2006,English             ,3,2.99,22.99,NC-17,Penelope Guiness,Games
King Evolution,2006,English             ,3,4.99,24.99,NC-17,Penelope Guiness,Family
Lady Stage,2006,English             ,4,4.99,14.99,PG,Penelope Guiness,Horror
Language Cowboy,2006,English             ,5,0.99,26.99,NC-17,Penelope Guiness,Children
Mulholland Beast,2006,English             ,7,2.99,13.99,PG,Penelope Guiness,Foreign
Oklahoma Jumanji,2006,English             ,7,0.99,15.99,PG,Penelope Guiness,New
Rules Human,2006,English             ,6,4.99,19.99,R,Penelope Guiness,Horror
Splash Gump,2006,English             ,5,0.99,16.99,PG,Penelope Guiness,Family
Vertigo Northwest,2006,English             ,4,2.99,17.99,R,Penelope Guiness,Comedy
Westward Seabiscuit,2006,English             ,7,0.99,11.99,NC-17,Penelope Guiness,Classics
Wizard Coldblooded,2006,English             ,4,4.99,12.99,PG,Penelope Guiness,Music
Adaptation Holes,2006,English             ,7,2.99,18.99,NC-17,Nick Wahlberg,Documentary
Apache Divine,2006,English             ,5,4.99,16.99,NC-17,Nick Wahlberg,Family
Baby Hall,2006,English             ,5,4.99,23.99,NC-17,Nick Wahlberg,Foreign
Bull Shawshank,2006,English             ,6,0.99,21.99,NC-17,Nick Wahlberg,Action
Chainsaw Uptown,2006,English             ,6,0.99,25.99,PG,Nick Wahlberg,Sci-Fi
Chisum Behavior,2006,English             ,5,4.99,25.99,G,Nick Wahlberg,Family
Destiny Saturday,2006,English             ,4,4.99,20.99,G,Nick Wahlberg,New
